Parameters:
num_ants = 30
num_iterations = 100
alpha = 0.9
beta = 0.7
rho = 0.15
Q = 125

Execution 1:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1242663860321045 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
99, 2238, 674, 0.0, 3558.633333333333, 4801
100, 2238, 674, 0.0, 3890.4, 5075

Execution 3:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1250135898590088 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 4003, 674, 0.0, 6110.766666666666, 7591
2, 3651, 674, 0.0, 6274.166666666667, 8449
3, 3651, 674, 0.0, 6215.033333333334, 8052
4, 3651, 674, 0.0, 6040.9, 7923
5, 3420, 674, 0.0, 6053.966666666666, 8521
6, 3420, 674, 0.0, 6036.033333333334, 9647
7, 3420, 674, 0.0, 5636.9, 7125
8, 3420, 674, 0.0, 5996.233333333334, 7823
9, 3420, 674, 0.0, 5861.933333333333, 8039
10, 3420, 674, 0.0, 5768.666666666667, 8015
11, 3420, 674, 0.0, 5624.3, 7471
12, 3420, 674, 0.0, 5171.466666666666, 7019
13, 3420, 674, 0.0, 5591.466666666666, 7315
14, 3420, 674, 0.0, 5204.233333333334, 7034
15, 3420, 674, 0.0, 4908.8, 6404
16, 3420, 674, 0.0, 5103.933333333333, 7584
17, 3378, 674, 0.0, 4903.933333333333, 6382
18, 3378, 674, 0.0, 4984.333333333333, 6640
19, 3378, 674, 0.0, 4910.7, 6444
20, 3378, 674, 0.0, 4789.966666666666, 6458
21, 3378, 674, 0.0, 4728.233333333334, 6178
22, 3378, 674, 0.0, 4791.6, 6063
23, 3179, 674, 0.0, 4736.733333333334, 7449
24, 2974, 674, 0.0, 4652.733333333334, 6132
25, 2238, 674, 0.0, 4487.933333333333, 7079
26, 2238, 674, 0.0, 4512.3, 5722
27, 2238, 674, 0.0, 4643.0, 6725
28, 2238, 674, 0.0, 4289.166666666667, 5881
29, 2238, 674, 0.0, 4398.7, 5903
30, 2238, 674, 0.0, 4219.266666666666, 5377
31, 2238, 674, 0.0, 4320.833333333333, 6474
32, 2238, 674, 0.0, 4240.333333333333, 5631
33, 2238, 674, 0.0, 4220.3, 6456
34, 2238, 674, 0.0, 4250.5, 5582
35, 2238, 674, 0.0, 4110.2, 5519
36, 2238, 674, 0.0, 4134.833333333333, 6281
37, 2238, 674, 0.0, 3991.5333333333333, 5430
38, 2238, 674, 0.0, 4035.266666666667, 5858
39, 2238, 674, 0.0, 3977.0, 5030
40, 2238, 674, 0.0, 4175.733333333334, 6045
41, 2238, 674, 0.0, 3870.1, 5632
42, 2238, 674, 0.0, 4137.933333333333, 5184
43, 2238, 674, 0.0, 3941.6, 5197
44, 2238, 674, 0.0, 4076.8, 5527
45, 2238, 674, 0.0, 4107.233333333334, 5634
46, 2238, 674, 0.0, 3957.4666666666667, 5076
47, 2238, 674, 0.0, 4023.0333333333333, 5867
48, 2238, 674, 0.0, 4208.833333333333, 5531
49, 2238, 674, 0.0, 4196.266666666666, 5510
50, 2238, 674, 0.0, 4063.2, 5065
51, 2238, 674, 0.0, 4073.9333333333334, 6059
52, 2238, 674, 0.0, 4084.0666666666666, 5540
53, 2238, 674, 0.0, 3931.9333333333334, 5523
54, 2238, 674, 0.0, 3970.5666666666666, 5978
55, 2238, 674, 0.0, 3794.0666666666666, 5115
