Parameters:
num_ants = 20
num_iterations = 125
alpha = 0.9
beta = 1.3
rho = 0.15
Q = 25

Execution 1:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4223902225494385 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
25, 4004, 1157, 0.0, 5307.85, 7249
26, 4004, 1157, 0.0, 5335.4, 7101
27, 3689, 1157, 0.0, 5099.45, 6094
28, 3689, 1157, 0.0, 5159.95, 6510
29, 3624, 1157, 0.0, 5062.1, 6824
30, 3515, 1157, 0.0, 4898.7, 6242
31, 3411, 1157, 0.0, 4803.35, 6424
32, 3392, 1157, 0.0, 4849.45, 6478
33, 3392, 1157, 0.0, 4560.05, 5799
34, 3295, 1157, 0.0, 4859.85, 6555
35, 3295, 1157, 0.0, 4833.75, 6128
36, 3295, 1157, 0.0, 4924.9, 6296
37, 3246, 1157, 0.0, 4408.6, 6241
38, 3246, 1157, 0.0, 4799.2, 6100
39, 3084, 1157, 0.0, 4269.55, 6889
40, 3084, 1157, 0.0, 4492.3, 5605
41, 3084, 1157, 0.0, 4407.55, 6467
42, 3084, 1157, 0.0, 4355.45, 5619
43, 3084, 1157, 0.0, 4557.65, 5385
44, 3084, 1157, 0.0, 4339.4, 5313
45, 3084, 1157, 0.0, 4495.3, 5304
46, 3032, 1157, 0.0, 4478.25, 5918
47, 3032, 1157, 0.0, 4274.3, 6312
48, 3032, 1157, 0.0, 4690.25, 6110
49, 3032, 1157, 0.0, 4416.0, 5847
50, 3032, 1157, 0.0, 4378.15, 5896
51, 2997, 1157, 0.0, 4168.05, 5370
52, 2997, 1157, 0.0, 4170.3, 5146
53, 2997, 1157, 0.0, 4174.0, 5538
54, 2997, 1157, 0.0, 4267.95, 6044
55, 2997, 1157, 0.0, 4193.1, 6423
56, 2997, 1157, 0.0, 4114.7, 4998
57, 2997, 1157, 0.0, 4039.65, 4960
58, 2997, 1157, 0.0, 4069.8, 6170
59, 2967, 1157, 0.0, 4346.85, 5566
60, 2967, 1157, 0.0, 3850.2, 5034
61, 2967, 1157, 0.0, 4103.1, 4822
62, 2967, 1157, 0.0, 4148.7, 5793
63, 2967, 1157, 0.0, 4274.6, 5913
64, 2967, 1157, 0.0, 4132.75, 5119
65, 2967, 1157, 0.0, 4229.25, 5680
66, 2967, 1157, 0.0, 4050.35, 5457
67, 2967, 1157, 0.0, 4155.15, 5296
68, 2967, 1157, 0.0, 4227.9, 5363
69, 2967, 1157, 0.0, 4089.9, 5239
70, 2967, 1157, 0.0, 4068.65, 5255
71, 2967, 1157, 0.0, 3964.45, 5004
72, 2967, 1157, 0.0, 3811.5, 4787
73, 2967, 1157, 0.0, 3885.25, 4733
74, 2967, 1157, 0.0, 4083.6, 5415
75, 2967, 1157, 0.0, 4048.0, 5139
76, 2967, 1157, 0.0, 3957.3, 4874
77, 2967, 1157, 0.0, 3866.95, 4927
78, 2967, 1157, 0.0, 4208.75, 5681
79, 2967, 1157, 0.0, 4171.1, 5642
80, 2967, 1157, 0.0, 3897.3, 5231
81, 2967, 1157, 0.0, 3848.35, 5265
82, 2967, 1157, 0.0, 3999.1, 5626
83, 2967, 1157, 0.0, 4191.6, 5799
84, 2967, 1157, 0.0, 4056.3, 5368
85, 2967, 1157, 0.0, 4177.6, 5370
86, 2967, 1157, 0.0, 3917.75, 5268
87, 2967, 1157, 0.0, 4097.85, 5142
88, 2967, 1157, 0.0, 3957.65, 4909
89, 2967, 1157, 0.0, 4063.1, 5189
90, 2967, 1157, 0.0, 3815.15, 5174
91, 2967, 1157, 0.0, 4210.9, 5117
92, 2967, 1157, 0.0, 4135.75, 5977
93, 2967, 1157, 0.0, 4072.85, 5210
94, 2967, 1157, 0.0, 4063.9, 5879
95, 2967, 1157, 0.0, 4248.05, 5387
96, 2967, 1157, 0.0, 4092.25, 5786
97, 2967, 1157, 0.0, 3916.5, 4911
98, 2967, 1157, 0.0, 4084.85, 5237
99, 2967, 1157, 0.0, 3977.45, 4786
100, 2967, 1157, 0.0, 3968.95, 4918
101, 2967, 1157, 0.0, 4229.2, 5799
102, 2967, 1157, 0.0, 4075.7, 5318
103, 2967, 1157, 0.0, 4364.55, 6057
104, 2967, 1157, 0.0, 4108.75, 5616
105, 2967, 1157, 0.0, 3952.45, 5104
106, 2967, 1157, 0.0, 3941.05, 4868
107, 2967, 1157, 0.0, 3822.1, 4689
108, 2967, 1157, 0.0, 3578.4, 4309
109, 2967, 1157, 0.0, 4035.25, 4929
110, 2967, 1157, 0.0, 3965.15, 4901
111, 2967, 1157, 0.0, 3966.5, 4724
112, 2962, 1157, 0.0, 3930.85, 5058
113, 2962, 1157, 0.0, 3966.15, 4888
114, 2962, 1157, 0.0, 4118.95, 5995
115, 2962, 1157, 0.0, 3922.5, 4963
116, 2962, 1157, 0.0, 3995.35, 4931
117, 2962, 1157, 0.0, 3952.25, 4948
